"ID","LAT","LON"
1,42.009,19.612
2,40.634,19.461
3,47.131,10.094
4,47.135,9.837
5,47.258,9.729
6,47.448,9.659
7,47.286,10.048
8,47.328,9.974
9,47.355,9.881
10,47.386,10.041
11,47.448,9.933
12,47.477,9.775
13,47.208,10.141
14,47.243,10.294
15,47.552,10.651
16,46.953,10.512
17,47.267,10.759
18,47.164,10.911
19,47.259,10.875
20,47.263,11.381
21,47.037,11.479
22,47.063,11.5
23,47.093,11.466
24,47.114,11.453
25,47.275,11.414
26,47.491,12.104
27,47.455,12.39
28,47.52,12.403
29,47.52,12.419
30,47.52,12.443
31,47.232,12.247
32,47.284,12.481
33,47.288,12.826
34,47.17,12.813
35,47.238,13.197
36,47.329,13.301
37,47.437,13.217
38,47.584,13.183
39,47.591,13.158
40,47.596,13.164
41,47.709,13.132
42,47.817,13.038
43,47.774,13.004
44,47.366,12.736
45,47.428,12.839
46,47.441,12.82
47,47.523,12.75
48,47.586,12.698
49,47.997,12.878
50,47.383,13.426
51,47.37,13.483
52,47.103,13.488
53,47.094,13.638
54,47.134,13.684
55,47.176,13.707
56,47.135,13.804
57,48.274,13.451
58,48.552,13.771
59,48.605,14.02
60,48.573,14.051
61,48.544,14.033
62,48.235,13.827
63,48.368,14.138
64,47.564,13.722
65,47.614,13.631
66,47.723,13.489
67,47.805,13.764
68,48.028,13.819
69,47.856,13.336
70,47.832,13.338
71,47.954,13.608
72,47.999,13.685
73,48.094,13.842
74,48.052,14.133
75,47.669,14.109
76,47.768,14.17
77,47.727,14.296
78,47.806,14.138
79,47.831,14.16
80,47.894,14.281
81,48.051,14.356
82,48.213,14.779
83,48.279,14.448
84,48.384,16.835
85,48.203,15.004
86,47.974,15.191
87,48.128,15.135
88,48.171,15.175
89,48.204,15.279
90,48.096,15.514
91,48.446,15.568
92,48.535,15.691
93,48.29,15.911
94,48.103,16.614
95,48.772,15.009
96,48.742,15.259
97,48.846,15.5
98,47.771,15.736
99,47.677,15.939
100,47.655,16.131
101,47.852,16.639
102,47.279,16.22
103,47.204,16.393
104,47.229,16.418
105,47.622,13.828
106,47.635,13.769
107,47.638,13.768
108,47.571,13.84
109,47.355,13.713
110,47.398,13.698
111,47.552,14.253
112,47.548,14.306
113,47.605,14.747
114,47.665,14.984
115,47.279,15.691
116,47.111,14.211
117,47.21,14.54
118,47.222,14.576
119,47.378,15.094
120,47.657,15.594
121,47.473,15.255
