Έτος,Δήμος,cleaned dimos,Org_ID,Περιφέρεια,Δασαρχείο,Κατάθεση αντιπυρκού σχεδίου στη ΓΓ. Πολ. Προστασίας,Χρηματοδότηηση ΥΠΕΣ,Συμπληρωματική χρηματοδότηση ΥΠΕΣ,#ανάθεση,#ανάληψη,#οριστικοποίηση,#έγκριση,Πρόταση χρηματοδότησης ΓΓ Πολ Προστασίας,Χρηματοδότηση ΕΣΠΑ,Χρηματοδότηση Αντώνης Τρίτσης,Άλλη πηγή χρηματοδότησης ονομαστικά,Δαπάνη για αντιπυρρική προστασία - Ισολογισμός,Αρ. Υπαλλήλων δήμου για πυροπροστασία,Αριθμός Πυρκαγιών,Καμμένες εκτάσεις,Τι ποσοστό του τακτικού προϋπολογισμού δίνεται σε πυροπροστασία
2022,ΔΗΜΟΣ ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ,ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ,6046,ΗΛΕΙΑΣ,,,85800,140000,26880,,23364.18,,,,,,,,,,
2022,ΔΗΜΟΣ ΑΧΑΡΝΩΝ,ΑΧΑΡΝΩΝ,6050,ΑΤΤΙΚΗΣ,,,63000,100000,,-376.41,,,,,,,,,,,
2022,ΔΗΜΟΣ ΓΛΥΦΑΔΑΣ,ΓΛΥΦΑΔΑΣ,6066,ΑΤΤΙΚΗΣ,,,22000,,,821392.37,181480.2,,,,,,,,,,
2022,ΔΗΜΟΣ ΙΣΤΙΑΙΑΣ-ΑΙΔΗΨΟΥ,ΙΣΤΙΑΙΑΣ-ΑΙΔΗΨΟΥ,6124,ΕΥΒΟΙΑΣ,,,90000,100000,293213.4,205076.51,,,,,,,,,,,
2022,ΔΗΜΟΣ ΜΑΝΤΟΥΔΙΟΥ-ΛΙΜΝΗΣ-ΑΓΙΑΣ ΑΝΝΑΣ,ΜΑΝΤΟΥΔΙΟΥ-ΛΙΜΝΗΣ-ΑΓΙΑΣ ΑΝΝΑΣ,6182,ΕΥΒΟΙΑΣ,,,70000,100000,219418,,52869.46,,,,,,,,,,
2022,ΔΗΜΟΣ ΜΥΤΙΛΗΝΗΣ,ΜΥΤΙΛΗΝΗΣ,6172,ΛΕΣΒΟΥ,,,204700,90000,,,,,,,,,,,,,
2022,ΔΗΜΟΣ ΠΕΝΤΕΛΗΣ,ΠΕΝΤΕΛΗΣ,6245,ΑΤΤΙΚΗΣ,,,75000,,6934.45,553.84,,,,,,,,,,,
2022,ΔΗΜΟΣ ΡΟΔΟΥ,ΡΟΔΟΥ,6265,ΔΩΔΕΚΑΝΗΣΟΥ,,,258000,100000,36615.09,378870.32,57888.04,,,,,,,,,,
2022,ΔΗΜΟΣ ΣΟΥΦΛΙΟΥ,ΣΟΥΦΛΙΟΥ,6284,ΕΒΡΟΥ,,,76600,,,,,,,,,,,,,,
2022,ΔΗΜΟΣ ΩΡΩΠΟΥ,ΩΡΩΠΟΥ,6324,ΑΤΤΙΚΗΣ,,,185000,180000,,,165000.44,,,,,,,,,,
2022,ΔΗΜΟΣ ΑΛΜΩΠΙΑΣ,ΑΛΜΩΠΙΑΣ,,ΠΕΛΛΑΣ,,,44000,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
2022,ΔΗΜΟΣ ΑΝΩΓΕΙΩΝ,ΑΝΩΓΕΙΩΝ,5010,ΡΕΘΥΜΝΟΥ,,,11400,,#N/A,#N/A,#N/A,#N/A,,,,,,,,,
