Please read Terms and Conditions of Access and Use of EDO data at https://edo.jrc.ec.europa.eu/edov2/php/index.php?id=1044
"cell_id","latitude","longitude","cdi"
20821699,39.7708,19.7708,5
20821700,39.7708,19.8125,5
20821701,39.7708,19.8542,5
20821702,39.7708,19.8958,5
20821703,39.7708,19.9375,5
20821725,39.8125,19.8542,2
20925799,39.5208,20.2708,5
20925800,39.5208,20.3125,5
20925801,39.5208,20.3542,5
20925802,39.5208,20.3958,5
20925803,39.5208,20.4375,5
20925804,39.5208,20.4792,5
20925805,39.5208,20.5208,5
20925806,39.5208,20.5625,5
20925807,39.5208,20.6042,5
20925808,39.5208,20.6458,5
20925809,39.5208,20.6875,2
20925810,39.5208,20.7292,5
20925823,39.5625,20.2708,5
20925824,39.5625,20.3125,5
20925825,39.5625,20.3542,5
20925826,39.5625,20.3958,5
20925827,39.5625,20.4375,5
20925828,39.5625,20.4792,5
20925829,39.5625,20.5208,5
20925830,39.5625,20.5625,5
20925831,39.5625,20.6042,5
20925832,39.5625,20.6458,5
20925833,39.5625,20.6875,5
20925834,39.5625,20.7292,5
20925847,39.6042,20.2708,5
20925848,39.6042,20.3125,5
20925849,39.6042,20.3542,5
20925850,39.6042,20.3958,5
20925851,39.6042,20.4375,5
20925852,39.6042,20.4792,5
20925853,39.6042,20.5208,5
20925854,39.6042,20.5625,5
20925855,39.6042,20.6042,5
20925856,39.6042,20.6458,5
20925857,39.6042,20.6875,5
20925858,39.6042,20.7292,5
20925871,39.6458,20.2708,5
20925872,39.6458,20.3125,5
20925873,39.6458,20.3542,5
20925874,39.6458,20.3958,5
20925875,39.6458,20.4375,5
20925876,39.6458,20.4792,5
20925877,39.6458,20.5208,5
20925878,39.6458,20.5625,2
20925879,39.6458,20.6042,2
20925880,39.6458,20.6458,5
20925881,39.6458,20.6875,5
20925882,39.6458,20.7292,5
20925895,39.6875,20.2708,5
20925896,39.6875,20.3125,5
20925897,39.6875,20.3542,5
20925898,39.6875,20.3958,5
20925899,39.6875,20.4375,5
20925900,39.6875,20.4792,5
20925901,39.6875,20.5208,2
20925902,39.6875,20.5625,2
20925903,39.6875,20.6042,2
20925904,39.6875,20.6458,5
20925905,39.6875,20.6875,5
20925906,39.6875,20.7292,5
20925921,39.7292,20.3542,5
20925922,39.7292,20.3958,5
20925923,39.7292,20.4375,5
20925924,39.7292,20.4792,5
20925925,39.7292,20.5208,5
20925926,39.7292,20.5625,5
20925927,39.7292,20.6042,5
20925928,39.7292,20.6458,5
20925929,39.7292,20.6875,5
20925930,39.7292,20.7292,5
20925944,39.7708,20.3125,5
20925945,39.7708,20.3542,5
20925946,39.7708,20.3958,5
20925947,39.7708,20.4375,5
20925948,39.7708,20.4792,5
20925971,39.8125,20.4375,5
20925972,39.8125,20.4792,5
20925995,39.8542,20.4375,2
20925996,39.8542,20.4792,5
20926018,39.8958,20.3958,2
20926019,39.8958,20.4375,5
20926020,39.8958,20.4792,5
20926041,39.9375,20.3542,2
20926042,39.9375,20.3958,5
20926043,39.9375,20.4375,5
20926044,39.9375,20.4792,5
20926065,39.9792,20.3542,5
20926066,39.9792,20.3958,5
20926067,39.9792,20.4375,5
20926068,39.9792,20.4792,5
21028624,37.0208,21.6458,2
21028625,37.0208,21.6875,2
21028626,37.0208,21.7292,2
21028627,37.0208,21.7708,2
21028628,37.0208,21.8125,2
21028629,37.0208,21.8542,2
21028630,37.0208,21.8958,2
21028631,37.0208,21.9375,2
21028632,37.0208,21.9792,2
21028647,37.0625,21.6042,2
21028648,37.0625,21.6458,2
21028649,37.0625,21.6875,2
21028650,37.0625,21.7292,2
21028651,37.0625,21.7708,2
21028652,37.0625,21.8125,2
21028653,37.0625,21.8542,2
21028654,37.0625,21.8958,2
21028655,37.0625,21.9375,2
21028656,37.0625,21.9792,2
21028671,37.1042,21.6042,2
21028672,37.1042,21.6458,2
21028673,37.1042,21.6875,2
21028674,37.1042,21.7292,2
21028675,37.1042,21.7708,2
21028676,37.1042,21.8125,5
21028677,37.1042,21.8542,5
21028678,37.1042,21.8958,2
21028679,37.1042,21.9375,2
21028680,37.1042,21.9792,2
21028695,37.1458,21.6042,2
21028696,37.1458,21.6458,2
21028697,37.1458,21.6875,2
21028698,37.1458,21.7292,2
21028699,37.1458,21.7708,2
21028700,37.1458,21.8125,5
21028701,37.1458,21.8542,5
21028702,37.1458,21.8958,5
21028703,37.1458,21.9375,2
21028704,37.1458,21.9792,2
21028719,37.1875,21.6042,2
21028720,37.1875,21.6458,2
21028721,37.1875,21.6875,2
21028722,37.1875,21.7292,2
21028723,37.1875,21.7708,2
21028724,37.1875,21.8125,5
21028725,37.1875,21.8542,5
21028726,37.1875,21.8958,5
21028727,37.1875,21.9375,2
21028728,37.1875,21.9792,2
21028744,37.2292,21.6458,2
21028745,37.2292,21.6875,2
21028746,37.2292,21.7292,2
21028747,37.2292,21.7708,2
21028748,37.2292,21.8125,2
21028749,37.2292,21.8542,2
21028750,37.2292,21.8958,2
21028751,37.2292,21.9375,2
21028752,37.2292,21.9792,2
21028769,37.2708,21.6875,2
21028770,37.2708,21.7292,2
21028771,37.2708,21.7708,2
21028772,37.2708,21.8125,2
21028773,37.2708,21.8542,2
21028774,37.2708,21.8958,2
21028775,37.2708,21.9375,2
21028776,37.2708,21.9792,2
21028794,37.3125,21.7292,2
21028795,37.3125,21.7708,5
21028796,37.3125,21.8125,5
21028797,37.3125,21.8542,2
21028798,37.3125,21.8958,2
21028799,37.3125,21.9375,2
21028800,37.3125,21.9792,2
21028818,37.3542,21.7292,5
21028819,37.3542,21.7708,5
21028820,37.3542,21.8125,5
21028821,37.3542,21.8542,2
21028822,37.3542,21.8958,5
21028823,37.3542,21.9375,5
21028824,37.3542,21.9792,5
21028841,37.3958,21.6875,2
21028842,37.3958,21.7292,5
21028843,37.3958,21.7708,5
21028844,37.3958,21.8125,5
21028845,37.3958,21.8542,5
21028846,37.3958,21.8958,5
21028847,37.3958,21.9375,5
21028848,37.3958,21.9792,5
21028865,37.4375,21.6875,2
21028866,37.4375,21.7292,2
21028867,37.4375,21.7708,5
21028868,37.4375,21.8125,5
21028869,37.4375,21.8542,5
21028870,37.4375,21.8958,2
21028871,37.4375,21.9375,5
21028872,37.4375,21.9792,5
21028888,37.4792,21.6458,2
21028889,37.4792,21.6875,5
21028890,37.4792,21.7292,5
21028891,37.4792,21.7708,5
21028892,37.4792,21.8125,5
21028893,37.4792,21.8542,5
21028894,37.4792,21.8958,5
21028895,37.4792,21.9375,5
21028896,37.4792,21.9792,5
21028911,37.5208,21.6042,2
21028912,37.5208,21.6458,2
21028913,37.5208,21.6875,2
21028914,37.5208,21.7292,5
21028915,37.5208,21.7708,5
21028916,37.5208,21.8125,5
21028917,37.5208,21.8542,5
21028918,37.5208,21.8958,5
21028919,37.5208,21.9375,2
21028920,37.5208,21.9792,2
21028934,37.5625,21.5625,2
21028935,37.5625,21.6042,2
21028936,37.5625,21.6458,2
21028937,37.5625,21.6875,2
21028938,37.5625,21.7292,2
21028939,37.5625,21.7708,2
21028940,37.5625,21.8125,2
21028941,37.5625,21.8542,2
21028942,37.5625,21.8958,2
21028943,37.5625,21.9375,2
21028944,37.5625,21.9792,5
21028957,37.6042,21.5208,2
21028958,37.6042,21.5625,2
21028959,37.6042,21.6042,2
21028960,37.6042,21.6458,2
21028961,37.6042,21.6875,2
21028962,37.6042,21.7292,2
21028963,37.6042,21.7708,2
21028964,37.6042,21.8125,2
21028965,37.6042,21.8542,2
21028966,37.6042,21.8958,2
21028967,37.6042,21.9375,5
21028968,37.6042,21.9792,5
21028981,37.6458,21.5208,2
21028982,37.6458,21.5625,2
21028983,37.6458,21.6042,2
21028984,37.6458,21.6458,2
21028985,37.6458,21.6875,5
21028986,37.6458,21.7292,5
21028987,37.6458,21.7708,2
